
customer;wholesaler;period;operator;turnover;productGroup;transactionId;totalPoints;promotionPoints;bonusPoints
330103;Örum Oy Ab;2025_01;-;8.12;PG0080000200000001;61-93493065;-8.12;0;0
3700085;Örum Oy Ab;2025_01;+;9.99;PG0080000200000001;61-93494435;9.99;0;0
40214;Örum Oy Ab;2025_01;+;9.99;PG0080000200000001;61-93494779;9.99;0;0
39100251;Örum Oy Ab;2025_01;+;11.18;PG0080000500000001;61-93493286;11.18;0;0
1023;Örum Oy Ab;2025_01;+;11.82;PG0080000500000001;61-93493444;11.82;0;0
320012;Örum Oy Ab;2025_01;+;13.5;PG0080000500000001;61-93494465;13.5;0;0
70341;Örum Oy Ab;2025_01;+;12.45;PG0080000500000001;61-93494801;12.45;0;0
2623555;Örum Oy Ab;2025_01;+;10.46;PG0080000500000001;61-93493175;10.46;0;0
40248;Örum Oy Ab;2025_01;+;6.66;PG0080000500000001;61-93494828;6.66;0;0
320080;Örum Oy Ab;2025_01;+;8.08;PG0080000500000001;61-93492860;8.08;0;0
221181;Örum Oy Ab;2025_01;+;5.93;PG0080000500000001;61-93493103;5.93;0;0
72174;Örum Oy Ab;2025_01;+;7.07;PG0080000500000001;61-93494398;7.07;0;0
3700085;Örum Oy Ab;2025_01;+;7.07;PG0080000500000001;61-93494435;7.07;0;0
71880;Örum Oy Ab;2025_01;+;9.12;PG0080000500000001;61-93493935;9.12;0;0
3700085;Örum Oy Ab;2025_01;+;14.1;PG0080000500000001;61-93494460;14.1;0;0
221181;Örum Oy Ab;2025_01;-;9.18;PG0080000500000001;61-93493596;-9.18;0;0
3700083;Örum Oy Ab;2025_01;+;10.94;PG0080000500000001;61-93493870;10.94;0;0
358;Örum Oy Ab;2025_01;+;9.18;PG0080000500000001;61-93494329;9.18;0;0
3678;Örum Oy Ab;2025_01;+;14.84;PG0080000500000001;61-93493219;14.84;0;0
218147;Örum Oy Ab;2025_01;+;18.65;PG0080000500000001;61-93494111;18.65;0;0
219207;Örum Oy Ab;2025_01;+;18.65;PG0080000500000001;61-93494122;18.65;0;0
71675;Örum Oy Ab;2025_01;+;14.22;PG0080000500000001;61-93493773;14.22;0;0
358;Örum Oy Ab;2025_01;+;19.64;PG0080000500000002;61-93494329;19.64;0;0
5151;Örum Oy Ab;2025_01;+;12.9;PG0080000500000002;61-93494491;12.9;0;0
16618;Örum Oy Ab;2025_01;+;12.9;PG0080000500000002;61-93494786;12.9;0;0
15822;Örum Oy Ab;2025_01;+;14.75;PG0080000500000002;61-93494426;14.75;0;0
3700083;Örum Oy Ab;2025_01;+;16.83;PG0080000500000002;61-93493870;16.83;0;0
2623555;Örum Oy Ab;2025_01;+;13.55;PG0080000500000002;61-93494418;13.55;0;0
19608;Örum Oy Ab;2025_01;+;6.68;PG0080000500000002;61-93493664;6.68;0;0
71341;Örum Oy Ab;2025_01;+;12.01;PG0080000500000002;61-93493183;12.01;0;0
70917;Örum Oy Ab;2025_01;+;9.77;PG0080000500000002;61-93493193;9.77;0;0
214787;Örum Oy Ab;2025_01;+;9.43;PG0080000500000002;61-93494847;9.43;0;0
222107;Örum Oy Ab;2025_01;+;11.2;PG0080000500000002;61-93494216;11.2;0;0
222107;Örum Oy Ab;2025_01;-;11.2;PG0080000500000002;61-93494454;-11.2;0;0
70234;Örum Oy Ab;2025_01;+;47.15;PG0080000500000002;61-93493457;47.15;0;0
218057;Örum Oy Ab;2025_01;+;11.4;PG0080000500000002;61-93493560;11.4;0;0
3700083;Örum Oy Ab;2025_01;+;11.4;PG0080000500000002;61-93493870;11.4;0;0
70546;Örum Oy Ab;2025_01;-;22.97;PG0080000500000002;61-93494480;-22.97;0;0
221163;Örum Oy Ab;2025_01;+;12.86;PG0080000500000002;61-93493031;12.86;0;0
218235;Örum Oy Ab;2025_01;+;11.94;PG0080000500000002;61-93493573;11.94;0;0
70234;Örum Oy Ab;2025_01;+;23.88;PG0080000500000002;61-93494187;23.88;0;0
71230;Örum Oy Ab;2025_01;+;15.01;PG0080000500000002;61-93494362;15.01;0;0
214787;Örum Oy Ab;2025_01;+;8.71;PG0080000500000001;61-93492987;8.71;0;0
71021;Örum Oy Ab;2025_01;+;11.97;PG0080000500000001;61-93493230;11.97;0;0
214499;Örum Oy Ab;2025_01;+;10.67;PG0080000500000001;61-93493846;10.67;0;0
214344;Örum Oy Ab;2025_01;+;10.21;PG0080000500000001;61-93493152;10.21;0;0
214344;Örum Oy Ab;2025_01;+;10.21;PG0080000500000001;61-93493677;10.21;0;0
320086;Örum Oy Ab;2025_01;+;12.22;PG0080000500000001;61-93493771;12.22;0;0
218147;Örum Oy Ab;2025_01;+;12.22;PG0080000500000001;61-93494120;12.22;0;0
241679;Örum Oy Ab;2025_01;+;10.21;PG0080000500000001;61-93494554;10.21;0;0
214499;Örum Oy Ab;2025_01;+;12.55;PG0080000500000001;61-93493479;12.55;0;0
123021;Örum Oy Ab;2025_01;+;17.67;PG0080000500000001;61-93494063;17.67;0;0
71184;Örum Oy Ab;2025_01;-;11.97;PG0080000500000001;61-93493378;-11.97;0;0
71184;Örum Oy Ab;2025_01;-;11.97;PG0080000500000001;61-93493378;-11.97;0;0
222107;Örum Oy Ab;2025_01;+;12.95;PG0080000500000001;61-93492903;12.95;0;0
214787;Örum Oy Ab;2025_01;+;10.47;PG0080000500000001;61-93492987;10.47;0;0
218229;Örum Oy Ab;2025_01;+;12.48;PG0080000500000001;61-93493296;12.48;0;0
216037;Örum Oy Ab;2025_01;+;10.47;PG0080000500000001;61-93494029;10.47;0;0
216037;Örum Oy Ab;2025_01;+;10.47;PG0080000500000001;61-93494365;10.47;0;0
17467;Örum Oy Ab;2025_01;+;12.94;PG0080000500000001;61-93494624;12.94;0;0
214787;Örum Oy Ab;2025_01;+;12.94;PG0080000500000001;61-93494847;12.94;0;0
2810062;Örum Oy Ab;2025_01;-;5.56;PG0080000500000001;61-93493785;-5.56;0;0
71184;Örum Oy Ab;2025_01;+;15.97;PG0080000500000001;61-93493177;15.97;0;0
358;Örum Oy Ab;2025_01;+;12.51;PG0080000500000001;61-93494771;12.51;0;0
320012;Örum Oy Ab;2025_01;+;13.62;PG0080000500000001;61-93494018;13.62;0;0
39100251;Örum Oy Ab;2025_01;+;11.28;PG0080000500000001;61-93494349;11.28;0;0
217006;Örum Oy Ab;2025_01;+;14.44;PG0080000500000001;61-93493666;14.44;0;0
3678;Örum Oy Ab;2025_01;+;8.86;PG0080000500000001;61-93494442;8.86;0;0
2623555;Örum Oy Ab;2025_01;+;21.74;PG0080000500000002;61-93493945;21.74;0;0
17918;Örum Oy Ab;2025_01;+;12.38;PG0080000500000002;61-93493304;12.38;0;0
222107;Örum Oy Ab;2025_01;+;28.18;PG0080000500000002;61-93493796;28.18;0;0
16618;Örum Oy Ab;2025_01;+;24.06;PG0080000500000002;61-93494786;24.06;0;0
221054;Örum Oy Ab;2025_01;+;20.99;PG0080000500000002;61-93493483;20.99;0;0
221163;Örum Oy Ab;2025_01;+;18.49;PG0080000500000002;61-93493031;18.49;0;0
70546;Örum Oy Ab;2025_01;+;20.42;PG0080000500000002;61-93493448;20.42;0;0
2623555;Örum Oy Ab;2025_01;+;25.39;PG0080000500000002;61-93493711;25.39;0;0
214274;Örum Oy Ab;2025_01;+;7.83;PG0010000800000010;61-93493563;7.83;0;0
330103;Örum Oy Ab;2025_01;-;18.77;PG0010000800000005;61-93493065;-18.77;0;0
70087;Örum Oy Ab;2025_01;+;10.33;PG0130000100000001;61-93493842;10.33;0;0
70546;Örum Oy Ab;2025_01;-;8.52;PG0130000100000001;61-93494480;-8.52;0;0
71080;Örum Oy Ab;2025_01;+;8.55;PG0130000100000001;61-93494750;8.55;0;0
16913;Örum Oy Ab;2025_01;+;11.94;PG0130000100000001;61-93494846;11.94;0;0
2702672;Örum Oy Ab;2025_01;+;14.76;PG0130000100000001;61-93494388;14.76;0;0
70829;Örum Oy Ab;2025_01;+;17.2;PG0130000100000001;61-93493699;17.2;0;0
71880;Örum Oy Ab;2025_01;+;7.86;PG0130000100000001;61-93493876;7.86;0;0
216037;Örum Oy Ab;2025_01;+;7.86;PG0130000100000001;61-93494059;7.86;0;0
221181;Örum Oy Ab;2025_01;+;6.84;PG0130000100000001;61-93493167;6.84;0;0
326542;Örum Oy Ab;2025_01;+;8.66;PG0130000100000001;61-93493691;8.66;0;0
218011;Örum Oy Ab;2025_01;-;26.35;PG0130000100000001;61-93493705;-26.35;0;0
70151;Örum Oy Ab;2025_01;+;6.28;PG0130000100000001;61-93493505;6.28;0;0
219101;Örum Oy Ab;2025_01;+;11.17;PG0130000100000001;61-93494436;11.17;0;0
2623555;Örum Oy Ab;2025_01;+;12.48;PG0130000100000001;61-93494331;12.48;0;0
221181;Örum Oy Ab;2025_01;+;104.55;PG0130000200000001;61-93493757;104.55;0;0
70854;Örum Oy Ab;2025_01;-;106.16;PG0130000200000002;61-93493685;-106.16;0;0
5151;Örum Oy Ab;2025_01;+;4.41;PG0130000100000001;61-93494667;4.41;0;0
241128;Örum Oy Ab;2025_01;-;5.1;PG0130000100000001;61-93493847;-5.1;0;0
1252;Örum Oy Ab;2025_01;+;3.97;PG0130000100000001;61-93494696;3.97;0;0
218005;Örum Oy Ab;2025_01;+;8.38;PG0130000100000001;61-93494617;8.38;0;0
214532;Örum Oy Ab;2025_01;+;7.72;PG0130000100000001;61-93493300;7.72;0;0
2810062;Örum Oy Ab;2025_01;+;9.21;PG0130000100000001;61-93492968;9.21;0;0
218235;Örum Oy Ab;2025_01;+;9.21;PG0130000100000001;61-93493573;9.21;0;0
214344;Örum Oy Ab;2025_01;-;9.21;PG0130000100000001;61-93493617;-9.21;0;0
221197;Örum Oy Ab;2025_01;+;8.04;PG0130000100000001;61-93493192;8.04;0;0
72174;Örum Oy Ab;2025_01;+;8.2;PG0130000100000001;61-93494312;8.2;0;0
216275;Örum Oy Ab;2025_01;+;7.43;PG0130000100000001;61-93494852;7.43;0;0
221181;Örum Oy Ab;2025_01;+;7.19;PG0130000100000001;61-93493757;7.19;0;0
71193;Örum Oy Ab;2025_01;-;7.19;PG0130000100000001;61-93493873;-7.19;0;0
72174;Örum Oy Ab;2025_01;+;8.06;PG0130000100000001;61-93494312;8.06;0;0
2623555;Örum Oy Ab;2025_01;+;14.63;PG0080000200000001;61-93493175;14.63;0;0
17918;Örum Oy Ab;2025_01;+;8.56;PG0080000200000001;61-93493304;8.56;0;0
17918;Örum Oy Ab;2025_01;+;24.92;PG0080000200000001;61-93494558;24.92;0;0
358;Örum Oy Ab;2025_01;+;12.02;PG0080000200000001;61-93494329;12.02;0;0
3700085;Örum Oy Ab;2025_01;-;13.18;PG0080000200000001;61-93493694;-13.18;0;0
3700085;Örum Oy Ab;2025_01;+;14.55;PG0080000200000001;61-93494460;14.55;0;0
15822;Örum Oy Ab;2025_01;+;10.13;PG0080000200000001;61-93494426;10.13;0;0
217079;Örum Oy Ab;2025_01;-;16.78;PG0080000200000001;61-93494140;-16.78;0;0
71193;Örum Oy Ab;2025_01;-;15.42;PG0080000200000001;61-93493873;-15.42;0;0
2810062;Örum Oy Ab;2025_01;+;13.23;PG0080000200000001;61-93492939;13.23;0;0
39100251;Örum Oy Ab;2025_01;+;15.06;PG0080000200000001;61-93493521;15.06;0;0
3700085;Örum Oy Ab;2025_01;-;15.92;PG0080000200000001;61-93493694;-15.92;0;0
70087;Örum Oy Ab;2025_01;-;16.77;PG0080000200000001;61-93493727;-16.77;0;0
3505901;Örum Oy Ab;2025_01;+;7.52;PG0080000200000001;61-93494707;7.52;0;0
358;Örum Oy Ab;2025_01;+;12.66;PG0080000200000001;61-93494771;12.66;0;0
358;Örum Oy Ab;2025_01;+;12.79;PG0080000200000001;61-93494771;12.79;0;0
222072;Örum Oy Ab;2025_01;+;13.99;PG0080000200000001;61-93494459;13.99;0;0
322091;Örum Oy Ab;2025_01;+;16.08;PG0080000200000001;61-93493815;16.08;0;0
71091;Örum Oy Ab;2025_01;+;12.57;PG0080000200000001;61-93494521;12.57;0;0
223000;Örum Oy Ab;2025_01;+;11.1;PG0080000200000001;61-93493149;11.1;0;0
209799;Örum Oy Ab;2025_01;+;15.14;PG0080000200000001;61-93492910;15.14;0;0
17467;Örum Oy Ab;2025_01;+;14.66;PG0080000200000001;61-93494624;14.66;0;0
214499;Örum Oy Ab;2025_01;+;14.55;PG0080000200000001;61-93493479;14.55;0;0
40214;Örum Oy Ab;2025_01;-;17.67;PG0080000200000001;61-93494119;-17.67;0;0
16618;Örum Oy Ab;2025_01;+;20.38;PG0080000200000001;61-93494786;20.38;0;0
72174;Örum Oy Ab;2025_01;-;13.93;PG0080000200000001;61-93493403;-13.93;0;0
320012;Örum Oy Ab;2025_01;+;17.72;PG0080000200000001;61-93494018;17.72;0;0
71184;Örum Oy Ab;2025_01;+;16.34;PG0080000200000001;61-93494251;16.34;0;0
218235;Örum Oy Ab;2025_01;+;12.92;PG0080000200000001;61-93494889;12.92;0;0
71080;Örum Oy Ab;2025_01;+;12.26;PG0080000200000001;61-93494750;12.26;0;0
71184;Örum Oy Ab;2025_01;+;13.09;PG0080000200000001;61-93493177;13.09;0;0
70234;Örum Oy Ab;2025_01;+;11.27;PG0080000200000001;61-93493457;11.27;0;0
322091;Örum Oy Ab;2025_01;+;18.29;PG0080000200000001;61-93493809;18.29;0;0
214787;Örum Oy Ab;2025_01;+;11.93;PG0080000200000001;61-93494847;11.93;0;0
71091;Örum Oy Ab;2025_01;-;22.01;PG0080000300000001;61-93493561;-22.01;0;0
221181;Örum Oy Ab;2025_01;-;31.64;PG0080000300000001;61-93493596;-31.64;0;0
71184;Örum Oy Ab;2025_01;-;42.85;PG0080000300000001;61-93493378;-42.85;0;0
3505901;Örum Oy Ab;2025_01;+;42.57;PG0080000300000001;61-93494707;42.57;0;0
214787;Örum Oy Ab;2025_01;+;42.57;PG0080000300000001;61-93494847;42.57;0;0
70151;Örum Oy Ab;2025_01;+;14.14;PG0080000300000001;61-93492976;14.14;0;0
356899;Örum Oy Ab;2025_01;+;58.55;PG0080000300000001;61-93493442;58.55;0;0
3700085;Örum Oy Ab;2025_01;+;25.17;PG0080000300000001;61-93494460;25.17;0;0
219101;Örum Oy Ab;2025_01;+;28.24;PG0080000300000001;61-93494436;28.24;0;0
40214;Örum Oy Ab;2025_01;+;12.39;PG0080000400000001;61-93494779;12.39;0;0
216207;Örum Oy Ab;2025_01;+;8.44;PG0080000100000001;61-93494234;8.44;0;0
353599;Örum Oy Ab;2025_01;+;4.64;PG0080000100000001;61-93493135;4.64;0;0
40214;Örum Oy Ab;2025_01;+;5.24;PG0080000100000001;61-93494779;5.24;0;0
72174;Örum Oy Ab;2025_01;+;5.24;PG0080000100000001;61-93494398;5.24;0;0
72174;Örum Oy Ab;2025_01;+;12.4;PG0080000100000001;61-93494376;12.4;0;0
71675;Örum Oy Ab;2025_01;+;5.5;PG0080000100000001;61-93493773;5.5;0;0
326542;Örum Oy Ab;2025_01;+;6.7;PG0080000100000001;61-93494182;6.7;0;0
218235;Örum Oy Ab;2025_01;+;4.94;PG0080000100000001;61-93493573;4.94;0;0
5151;Örum Oy Ab;2025_01;+;4.94;PG0080000100000001;61-93494667;4.94;0;0
19608;Örum Oy Ab;2025_01;+;4.94;PG0080000100000001;61-93494126;4.94;0;0
5151;Örum Oy Ab;2025_01;+;4.94;PG0080000100000001;61-93494491;4.94;0;0
221054;Örum Oy Ab;2025_01;+;8.22;PG0080000100000001;61-93493483;8.22;0;0
330103;Örum Oy Ab;2025_01;-;4.61;PG0080000100000001;61-93493902;-4.61;0;0
216207;Örum Oy Ab;2025_01;+;6.78;PG0080000100000001;61-93493916;6.78;0;0
40214;Örum Oy Ab;2025_01;+;5.93;PG0080000100000001;61-93494779;5.93;0;0
39034191;Örum Oy Ab;2025_01;+;9.72;PG0080000100000001;61-93493674;9.72;0;0
353599;Örum Oy Ab;2025_01;+;10.68;PG0080000100000001;61-93493135;10.68;0;0
241128;Örum Oy Ab;2025_01;+;9.79;PG0080000100000001;61-93493806;9.79;0;0
